x z      bx bz     nx        nz
0 185.42 0 -2.1693 -0.329084 0.0026648
0 187.96 0 -2.1707 -0.328728 0.00171212
0 190.5 0 -2.172 -0.328255 0.00274683
0 193.04 0 -2.1732 -0.329262 0.00107786
0 195.58 0 -2.1744 -0.327918 0.00316091
0 198.12 0 -2.1756 -0.329265 0.0001398
0 200.66 0 -2.1768 -0.328746 0.000510428
0 203.2 0 -2.178 -0.328697 0.00166492
0 205.74 0 -2.1792 -0.328786 0.000832407
0 208.28 0 -2.1804 -0.328308 0.00307156
0 236.22 0 -2.1954 -0.32853 0.00159554
0 238.76 0 -2.1968 -0.328409 0.000868123
0 241.3 0 -2.1982 -0.329665 0.000880507
0 243.84 0 -2.1996 -0.3283 0.00314727
0 246.38 0 -2.2009 -0.329458 0.000588051
0 248.92 0 -2.2021 -0.328985 0.00214527
0 251.46 0 -2.2033 -0.328567 0.000981199
0 254 0 -2.2044 -0.329201 -0.000718847
0 256.54 0 -2.2053 -0.328461 0.00211502
0 259.08 0 -2.2061 -0.328649 0.0020899
0 287.02 0 -2.1943 -0.329354 0.000558987
0 289.56 0 -2.1898 -0.328293 0.000954994
0 292.1 0 -2.1844 -0.3303 -0.00149951
0 294.64 0 -2.1781 -0.328231 0.00126558
0 297.18 0 -2.1707 -0.328245 0.00249279
0 299.72 0 -2.1621 -0.3297 -0.00111246
0 302.26 0 -2.1522 -0.32879 0.000754303
0 304.8 0 -2.141 -0.329525 0.00205771
0 307.34 0 -2.1285 -0.328376 0.000242075
0 309.88 0 -2.1144 -0.329288 2.63933e-05
0 337.82 0 -1.8464 -0.290528 0.000798023
0 340.36 0 -1.8115 -0.284389 0.0025546
0 342.9 0 -1.775 -0.279045 0.00178621
0 345.44 0 -1.737 -0.272813 0.000446058
0 347.98 0 -1.6975 -0.267716 8.07147e-05
0 350.52 0 -1.6567 -0.260793 0.00035154
0 353.06 0 -1.6147 -0.253675 0.00199642
0 355.6 0 -1.5716 -0.247962 0.000826286
0 358.14 0 -1.5275 -0.240475 0.00180764
0 360.68 0 -1.4826 -0.233539 0.00175346
2.54 185.42 0.00071897 -2.1693 -0.328215 0.00218134
2.54 187.96 0.00067458 -2.1707 -0.329632 -0.00111648
2.54 190.5 0.00063973 -2.172 -0.32834 0.00264417
2.54 193.04 0.00061402 -2.1732 -0.328517 0.00195644
2.54 195.58 0.00059685 -2.1745 -0.329642 -0.000397943
2.54 198.12 0.00058746 -2.1756 -0.328568 0.00107213
2.54 200.66 0.00058495 -2.1768 -0.327714 0.00205947
2.54 203.2 0.00058833 -2.178 -0.329252 -0.000658485
2.54 205.74 0.00059652 -2.1792 -0.328364 0.00139124
2.54 208.28 0.00060841 -2.1804 -0.329685 -6.4242e-05
2.54 236.22 0.00071533 -2.1954 -0.329616 -0.00232022
2.54 238.76 0.00070563 -2.1968 -0.329136 0.000484546
2.54 241.3 0.00069062 -2.1982 -0.328917 0.00168079
2.54 243.84 0.00066974 -2.1996 -0.329059 0.00114947
2.54 246.38 0.0006423 -2.2009 -0.329194 0.000245946
2.54 248.92 0.00060745 -2.2021 -0.328364 0.0013907
2.54 251.46 0.00056413 -2.2033 -0.32882 0.00138526
2.54 254 0.00051107 -2.2044 -0.328804 0.000281064
2.54 256.54 0.00044676 -2.2054 -0.329398 -6.4791e-05
2.54 259.08 0.00036945 -2.2062 -0.329656 -0.000938335
