 1 100  1000  35.47  5.01461
 1 100  100  35.7511  3.01434
 1 100  1050  35.4492  4.02896
 1 100  1100  35.4088  3.98885
 1 100  1150  35.4259  4.0214
 1 100  1200  35.4687  4.13738
 1 100  1250  35.3972  4.13397
 1 100  1300  35.4246  4.09259
 1 100  1350  35.349  4.14579
 1 100  1400  35.4281  4.14241
 1 100  1450  35.3982  4.18443
 1 100  1500  35.4057  4.12328
 1 100  150  35.756  3.18174
 1 100  1550  35.4146  4.22173
 1 100  1600  35.4701  4.13352
 1 100  200  35.7154  3.35275
 1 100  250  35.6921  3.32843
 1 100  300  35.6553  3.5761
 1 100  350  35.6647  5.06887
 1 100  400  35.6611  3.60083
 1 100  450  35.5944  3.66157
 1 100  500  35.5338  3.83696
 1 100  50  35.9371  2.66454
 1 100  550  35.5756  3.94427
 1 100  600  35.5661  3.80236
 1 100  650  35.5588  3.85724
 1 100  700  35.493  3.95234
 1 100  750  35.5129  3.83429
 1 100  800  35.5416  4.00052
 1 100  850  35.4693  4.01948
 1 100  900  35.4658  3.98742
 1 100  950  35.4982  4.05757
 1 110  1000  22.2845  4.93492
 1 110  100  22.968  2.92786
 1 110  1050  22.2548  3.95424
 1 110  1100  22.1659  4.00976
 1 110  1150  22.1623  4.03011
 1 110  1200  22.2269  4.01821
 1 110  1250  22.1679  4.10325
 1 110  1300  22.1196  4.11878
 1 110  1350  22.0704  4.12801
 1 110  1400  22.1947  4.06444
 1 110  1450  22.0953  4.71764
 1 110  1500  22.1856  4.33327
 1 110  150  22.7905  3.20568
 1 110  1550  22.1001  5.29981
 1 110  1600  22.0668  4.37934
 1 110  200  22.7109  3.30359
 1 110  250  22.6334  3.40118
 1 110  300  22.5537  3.55892
 1 110  350  22.5467  3.60326
 1 110  400  22.4936  3.58897
 1 110  450  22.4635  3.7134
 1 110  500  22.4975  5.01876
 1 110  50  23.1047  2.7589
 1 110  550  22.4912  3.78039
 1 110  600  22.3998  3.71809
 1 110  650  22.4297  4.88886
 1 110  700  22.2737  3.85442
 1 110  750  22.2587  3.9045
 1 110  800  22.3042  3.99368
 1 110  850  22.308  3.95001
 1 110  900  22.2867  3.8949
 1 110  950  22.3104  3.96462
 1 115  1000  15.0885  4.29569
 1 115  100  15.9723  2.97257
 1 115  1050  15.1663  3.78789
 1 115  1100  15.0895  3.74789
 1 115  1150  15.1124  3.73868
 1 115  1200  15.09  4.72029
 1 115  1250  15.0423  3.76965
 1 115  1300  15.0188  3.83163
 1 115  1350  15.0172  3.88308
 1 115  1400  15.0671  3.84738
 1 115  1450  15.0224  4.68584
 1 115  1500  15.0533  3.89535
 1 115  150  15.7801  3.06958
 1 115  1550  14.9609  3.9206
 1 115  1600  14.9858  3.84871
 1 115  200  15.7007  5.06418
 1 115  250  15.7511  3.25173
 1 115  300  15.5082  3.38432
 1 115  350  15.5123  3.4431
 1 115  400  15.456  4.85671
 1 115  450  15.3679  3.47939
 1 115  500  15.4093  4.84087
 1 115  50  16.1611  2.74115
 1 115  550  15.2703  3.60316
 1 115  600  15.3182  3.54763
 1 115  650  15.2529  3.59286
 1 115  700  15.2438  3.59392
 1 115  750  15.2143  3.60511
 1 115  800  15.1856  3.68278
 1 115  850  15.1735  3.74111
 1 115  900  15.1575  3.72426
 1 115  950  15.1766  4.72142
 1 15  1000  299.738  3.66114
 1 15  100  296.886  4.06877
 1 15  1050  299.808  3.63
 1 15  1100  299.861  3.58488
 1 15  1150  299.943  3.59614
 1 15  1200  299.967  3.5173
 1 15  1250  300.031  3.57163
 1 15  1300  300.045  3.47154
 1 15  1350  300.096  3.45454
 1 15  1400  300.12  3.43633
 1 15  1450  300.172  3.4076
 1 15  1500  300.164  3.37884
 1 15  150  297.465  4.24465
 1 15  1550  300.235  3.3585
 1 15  1600  300.273  3.34169
 1 15  200  297.823  4.20929
 1 15  250  298.092  4.20248
 1 15  300  298.277  4.10195
 1 15  350  298.503  4.168
 1 15  400  298.67  4.12158
 1 15  450  298.782  4.05729
 1 15  500  298.925  3.99416
 1 15  50  296.088  4.04585
 1 15  550  299.047  4.03301
 1 15  600  299.128  3.95615
 1 15  650  299.232  3.89696
 1 15  700  299.317  3.82906
 1 15  750  299.42  3.8198
 1 15  800  299.507  3.8157
 1 15  850  299.56  3.75955
 1 15  900  299.66  3.75997
 1 15  950  299.678  3.66429
 1 20  1000  234.974  3.9527
 1 20  100  232.369  3.96128
 1 20  1050  235.014  3.88022
 1 20  1100  235.054  3.8679
 1 20  1150  235.139  3.87838
 1 20  1200  235.154  3.83218
 1 20  1250  235.214  3.84088
 1 20  1300  235.257  3.77897
 1 20  1350  235.292  3.7949
 1 20  1400  235.344  3.79736
 1 20  1450  235.376  3.78159
 1 20  1500  235.419  3.74293
 1 20  150  232.845  4.15953
 1 20  1550  235.44  3.70439
 1 20  1600  235.462  3.67119
 1 20  200  233.128  4.14993
 1 20  250  233.445  4.08633
 1 20  300  233.621  4.12033
 1 20  350  233.814  4.13218
 1 20  400  233.941  4.14379
 1 20  450  234.062  4.1089
 1 20  500  234.204  4.1048
 1 20  50  231.551  4.13315
 1 20  550  234.27  4.0463
 1 20  600  234.41  4.04857
 1 20  650  234.467  4.01881
 1 20  700  234.552  4.04289
 1 20  750  234.646  4.02263
 1 20  800  234.74  4.00953
 1 20  850  234.797  3.95875
 1 20  900  234.885  3.99786
 1 20  950  234.927  3.90778
 1 30  1000  167.529  4.2664
 1 30  100  165.286  3.61947
 1 30  1050  167.536  4.19649
 1 30  1100  167.564  4.20638
 1 30  1150  167.619  4.25993
